"Package"	"toInstall"	"origin"
"beeswarm"	"0.4.0"	"CRAN"
"BH"	"1.81.0-1"	"CRAN"
"BiocManager"	"1.30.20"	"CRAN"
"bitops"	"1.0-7"	"CRAN"
"patchwork"	"1.1.2"	"CRAN"
"ComplexUpset"	"1.3.3"	"CRAN"
"corrplot"	"0.92"	"CRAN"
"crosstalk"	"1.2.0"	"CRAN"
"DEoptimR"	"1.1-3"	"CRAN"
"DT"	"0.27"	"CRAN"
"proxy"	"0.4-27"	"CRAN"
"e1071"	"1.7-13"	"CRAN"
"mvtnorm"	"1.3-1"	"CRAN"
"bdsmatrix"	"1.3-7"	"CRAN"
"numDeriv"	"2016.8-1.1"	"CRAN"
"coda"	"0.19-4.1"	"CRAN"
"plyr"	"1.8.8"	"CRAN"
"bbmle"	"1.0.25.1"	"CRAN"
"emdbook"	"1.3.13"	"CRAN"
"etrunct"	"0.1"	"CRAN"
"parallelly"	"1.35.0"	"CRAN"
"listenv"	"0.9.0"	"CRAN"
"globals"	"0.16.2"	"CRAN"
"future"	"1.32.0"	"CRAN"
"ggseqlogo"	"0.2"	"CRAN"
"ggsignif"	"0.6.4"	"CRAN"
"iterators"	"1.0.14"	"CRAN"
"RcppEigen"	"0.3.3.9.3"	"CRAN"
"shape"	"1.4.6.1"	"CRAN"
"foreach"	"1.5.2"	"CRAN"
"glmnet"	"4.1-8"	"CRAN"
"glmnetUtils"	"1.1.9"	"CRAN"
"gower"	"1.0.1"	"CRAN"
"gson"	"0.1.0"	"CRAN"
"here"	"1.0.1"	"CRAN"
"ica"	"1.0-3"	"CRAN"
"invgamma"	"1.1"	"CRAN"
"leaps"	"3.2"	"CRAN"
"RcppTOML"	"0.2.2"	"CRAN"
"reticulate"	"1.28"	"CRAN"
"leiden"	"0.4.3"	"CRAN"
"minqa"	"1.2.5"	"CRAN"
"multcompView"	"0.1-10"	"CRAN"
"nloptr"	"2.0.3"	"CRAN"
"operator.tools"	"1.6.3"	"CRAN"
"polynom"	"1.4-1"	"CRAN"
"pscl"	"1.5.9"	"CRAN"
"RANN"	"2.6.1"	"CRAN"
"RcppHNSW"	"0.6.0"	"CRAN"
"RcppML"	"0.3.7"	"CRAN"
"RcppNumerical"	"0.6-0"	"CRAN"
"RcppProgress"	"0.4.2"	"CRAN"
"RhpcBLASctl"	"0.23-42"	"CRAN"
"Rtsne"	"0.16"	"CRAN"
"scattermore"	"1.0"	"CRAN"
"sys"	"3.4.1"	"CRAN"
"tensor"	"1.5"	"CRAN"
"triebeard"	"0.4.1"	"CRAN"
"writexl"	"1.5.1"	"CRAN"
"yulab.utils"	"0.1.7"	"CRAN"
"abind"	"1.4-5"	"CRAN"
"amap"	"0.8-19.1"	"CRAN"
"ape"	"5.7-1"	"CRAN"
"gridGraphics"	"0.5-1"	"CRAN"
"ggfun"	"0.1.6"	"CRAN"
"ggplotify"	"0.1.2"	"CRAN"
"aplot"	"0.2.3"	"CRAN"
"RcppArmadillo"	"0.12.2.0.0"	"CRAN"
"irlba"	"2.3.5.1"	"CRAN"
"SQUAREM"	"2021.1"	"CRAN"
"truncnorm"	"1.0-9"	"CRAN"
"mixsqp"	"0.3-54"	"CRAN"
"ashr"	"2.2-63"	"CRAN"
"babelgene"	"22.9"	"CRAN"
"insight"	"0.20.5"	"CRAN"
"datawizard"	"0.13.0"	"CRAN"
"bayestestR"	"0.14.0"	"CRAN"
"broom"	"1.0.4"	"CRAN"
"bslib"	"0.4.2"	"CRAN"
"Cairo"	"1.6-0"	"CRAN"
"carData"	"3.0-5"	"CRAN"
"caTools"	"1.18.2"	"CRAN"
"checkmate"	"2.3.2"	"CRAN"
"classInt"	"0.4-10"	"CRAN"
"clock"	"0.7.1"	"CRAN"
"clue"	"0.3-65"	"CRAN"
"concatenate"	"1.0.0"	"CRAN"
"cowplot"	"1.1.1"	"CRAN"
"curl"	"5.0.0"	"CRAN"
"dbplyr"	"2.3.4"	"CRAN"
"deldir"	"1.0-6"	"CRAN"
"dendextend"	"1.18.1"	"CRAN"
"dotCall64"	"1.1-0"	"CRAN"
"sitmo"	"2.0.2"	"CRAN"
"dqrng"	"0.3.0"	"CRAN"
"goftest"	"1.2-3"	"CRAN"
"reshape2"	"1.4.4"	"CRAN"
"zoo"	"1.8-12"	"CRAN"
"reshape"	"0.8.9"	"CRAN"
"quadprog"	"1.5-8"	"CRAN"
